log_best21_v16.txt:val0.csv val accuracy = 0.97051;best21_v16_val0_0,97051
log_best21_v16.txt:val1.csv val accuracy = 0.97022;best21_v16_val1_0,97022
log_best21_v16.txt:val2.csv val accuracy = 0.96826;best21_v16_val2_0,96826
log_best21_v16.txt:val3.csv val accuracy = 0.96572;best21_v16_val3_0,96572
log_best21_v16.txt:val4.csv val accuracy = 0.97538;best21_v16_val4_0,97538
log_best21_v16.txt:val5.csv val accuracy = 0.96913;best21_v16_val5_0,96913
log_best21_v16.txt:val6.csv val accuracy = 0.9716;best21_v16_val6_0,9716
log_best21_v16.txt:val7.csv val accuracy = 0.96863;best21_v16_val7_0,96863
log_best21_v17.txt:val0.csv val accuracy = 0.96303;best21_v17_val0_0,96303
log_best21_v17.txt:val1.csv val accuracy = 0.96274;best21_v17_val1_0,96274
log_best21_v17.txt:val2.csv val accuracy = 0.96521;best21_v17_val2_0,96521
log_best21_v17.txt:val3.csv val accuracy = 0.95882;best21_v17_val3_0,95882
log_best21_v17.txt:val4.csv val accuracy = 0.96209;best21_v17_val4_0,96209
log_best21_v17.txt:val5.csv val accuracy = 0.961;best21_v17_val5_0,961
log_best21_v17.txt:val6.csv val accuracy = 0.96427;best21_v17_val6_0,96427
log_best21_v17.txt:val7.csv val accuracy = 0.96587;best21_v17_val7_0,96587
log_best21_v18.txt:val0.csv val accuracy = 0.9647;best21_v18_val0_0,9647
log_best21_v18.txt:val1.csv val accuracy = 0.96478;best21_v18_val1_0,96478
log_best21_v18.txt:val2.csv val accuracy = 0.96521;best21_v18_val2_0,96521
log_best21_v18.txt:val3.csv val accuracy = 0.96427;best21_v18_val3_0,96427
log_best21_v18.txt:val4.csv val accuracy = 0.97008;best21_v18_val4_0,97008
log_best21_v18.txt:val5.csv val accuracy = 0.96405;best21_v18_val5_0,96405
log_best21_v18.txt:val6.csv val accuracy = 0.96543;best21_v18_val6_0,96543
log_best21_v18.txt:val7.csv val accuracy = 0.96877;best21_v18_val7_0,96877
log_best21_v19.txt:val0.csv val accuracy = 0.96775;best21_v19_val0_0,96775
log_best21_v19.txt:val1.csv val accuracy = 0.9708;best21_v19_val1_0,9708
log_best21_v19.txt:val2.csv val accuracy = 0.97117;best21_v19_val2_0,97117
log_best21_v19.txt:val3.csv val accuracy = 0.96775;best21_v19_val3_0,96775
